Variation ID	Chromosome	GAD ID	Association	Associated SNPs	Phenotype	Disease Class	Gene	Reference	PubMed	p-Value	Population	Entrez Gene
rs10834986	chr11	701983			Tobacco Use Disorder	CHEMDEPENDENCY	ANO3	Rose J  et al.  2010	20379614			63982
rs10834986	chr11	736132	Y	rs1461361	Body Mass Index	METABOLIC	ANO3	Caroline S Fox et al. BMC medical genetics 2007	17903300	0.00		63982
rs10834986	chr11	736847	Y	rs1461361	Body Weight Changes	METABOLIC	ANO3	Caroline S Fox et al. BMC medical genetics 2007	17903300	0.00		63982
rs7945815	chr11	724313	Y	rs2013380	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs7945815	chr11	712400	Y	rs2632057	Asthma	IMMUNE	NAV2		0	0.00		
rs7945815	chr11	740950	Y	rs874426	Attention Deficit Disorder with Hyperactivity	PSYCH	NAV2	Jessica Lasky-Su et al. American journal of medical genetics. Part B, Neuropsychiatric genetics  2008	18937294	0.00		
rs7945815	chr11	747202	Y	rs10741780	HIV-1	INFECTION	NAV2	Jairam R Lingappa et al. PloS one 2012	22174851	0.00		
rs7945815	chr11	722668	Y	rs1425227	Lipoproteins	METABOLIC	NAV2		0	0.00		
rs7945815	chr11	726281	Y	rs2004083	Stroke	NEUROLOGICAL	NAV2		0	0.00		
rs7945815	chr11	724513	Y	rs894558	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs7945815	chr11	712047	Y	rs10734289	Arteries	CARDIOVASCULAR	NAV2		0	0.00		
rs7945815	chr11	715883	Y	rs10741818	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs7945815	chr11	715945	Y	rs1470253	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs7945815	chr11	715896	Y	rs1470251	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs7945815	chr11	742499	Y	rs2276432	Hemoglobin A, Glycosylated	HEMATOLOGICAL	SLC6A5	Andrew D Paterson et al. Diabetes 2010	19875614	0.00		9152
rs7945815	chr11	701983			Tobacco Use Disorder	CHEMDEPENDENCY	ANO3	Rose J  et al.  2010	20379614			63982
rs7945815	chr11	736132	Y	rs1461361	Body Mass Index	METABOLIC	ANO3	Caroline S Fox et al. BMC medical genetics 2007	17903300	0.00		63982
rs7945815	chr11	736847	Y	rs1461361	Body Weight Changes	METABOLIC	ANO3	Caroline S Fox et al. BMC medical genetics 2007	17903300	0.00		63982
rs11030132	chr11	724313	Y	rs2013380	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs11030132	chr11	712400	Y	rs2632057	Asthma	IMMUNE	NAV2		0	0.00		
rs11030132	chr11	740950	Y	rs874426	Attention Deficit Disorder with Hyperactivity	PSYCH	NAV2	Jessica Lasky-Su et al. American journal of medical genetics. Part B, Neuropsychiatric genetics  2008	18937294	0.00		
rs11030132	chr11	747202	Y	rs10741780	HIV-1	INFECTION	NAV2	Jairam R Lingappa et al. PloS one 2012	22174851	0.00		
rs11030132	chr11	722668	Y	rs1425227	Lipoproteins	METABOLIC	NAV2		0	0.00		
rs11030132	chr11	726281	Y	rs2004083	Stroke	NEUROLOGICAL	NAV2		0	0.00		
rs11030132	chr11	724513	Y	rs894558	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs11030132	chr11	712047	Y	rs10734289	Arteries	CARDIOVASCULAR	NAV2		0	0.00		
rs11030132	chr11	715883	Y	rs10741818	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs11030132	chr11	715945	Y	rs1470253	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs11030132	chr11	715896	Y	rs1470251	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs11030132	chr11	742499	Y	rs2276432	Hemoglobin A, Glycosylated	HEMATOLOGICAL	SLC6A5	Andrew D Paterson et al. Diabetes 2010	19875614	0.00		9152
rs11030132	chr11	598304	Y	rs1602565-C	schizophrenia	PSYCH	Intergenic	O'Donovan ,et al. 2008	18677311		 	
rs11231787	chr11	724313	Y	rs2013380	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs11231787	chr11	712400	Y	rs2632057	Asthma	IMMUNE	NAV2		0	0.00		
rs11231787	chr11	740950	Y	rs874426	Attention Deficit Disorder with Hyperactivity	PSYCH	NAV2	Jessica Lasky-Su et al. American journal of medical genetics. Part B, Neuropsychiatric genetics  2008	18937294	0.00		
rs11231787	chr11	747202	Y	rs10741780	HIV-1	INFECTION	NAV2	Jairam R Lingappa et al. PloS one 2012	22174851	0.00		
rs11231787	chr11	722668	Y	rs1425227	Lipoproteins	METABOLIC	NAV2		0	0.00		
rs11231787	chr11	726281	Y	rs2004083	Stroke	NEUROLOGICAL	NAV2		0	0.00		
rs11231787	chr11	724513	Y	rs894558	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs11231787	chr11	712047	Y	rs10734289	Arteries	CARDIOVASCULAR	NAV2		0	0.00		
rs11231787	chr11	715883	Y	rs10741818	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs11231787	chr11	715945	Y	rs1470253	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs11231787	chr11	715896	Y	rs1470251	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs11231787	chr11	745131	Y	rs1568889	Bipolar Disorder	PSYCH	HSP90AA2	Yuan Jiang et al. Genetic epidemiology 2011	21254220	0.00		3324
rs11231787	chr11	742286	Y	rs7932354	Bone Density	METABOLIC	ZNF408	Fernando Rivadeneira et al. Nature genetics 2009	19801982	0.00		79797
rs11231787	chr11	746394	Y	rs10501320	Diabetes Mellitus, Type 2	METABOLIC	MADD	Rona J Strawbridge et al. Diabetes 2011	21873549	0.00		8567
rs11231787	chr11	722779	Y	rs4752977	Lipoproteins, HDL	METABOLIC	MADD		0	0.00		8567
rs11231787	chr11	722778	Y	rs1051006	Lipoproteins, HDL	METABOLIC	MADD		0	0.00		8567
rs11231787	chr11	746399	Y	rs10838687	Diabetes Mellitus, Type 2	METABOLIC	MADD	Rona J Strawbridge et al. Diabetes 2011	21873549	0.00		8567
rs11231787	chr11	722805	Y	rs749067	Lipoproteins, HDL	METABOLIC	MADD		0	0.00		8567
rs11231787	chr11	743041	Y	rs7944584	Glucose Tolerance Test	METABOLIC	MADD	J Dupuis et al. Nature genetics 2010	20081858	0.00		8567
rs11231787	chr11	722782	Y	rs4752979	Lipoproteins, HDL	METABOLIC	MADD		0	0.00		8567
rs480617	chr11	724313	Y	rs2013380	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs480617	chr11	712400	Y	rs2632057	Asthma	IMMUNE	NAV2		0	0.00		
rs480617	chr11	740950	Y	rs874426	Attention Deficit Disorder with Hyperactivity	PSYCH	NAV2	Jessica Lasky-Su et al. American journal of medical genetics. Part B, Neuropsychiatric genetics  2008	18937294	0.00		
rs480617	chr11	747202	Y	rs10741780	HIV-1	INFECTION	NAV2	Jairam R Lingappa et al. PloS one 2012	22174851	0.00		
rs480617	chr11	722668	Y	rs1425227	Lipoproteins	METABOLIC	NAV2		0	0.00		
rs480617	chr11	726281	Y	rs2004083	Stroke	NEUROLOGICAL	NAV2		0	0.00		
rs480617	chr11	724513	Y	rs894558	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs480617	chr11	712047	Y	rs10734289	Arteries	CARDIOVASCULAR	NAV2		0	0.00		
rs480617	chr11	715883	Y	rs10741818	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs480617	chr11	715945	Y	rs1470253	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs480617	chr11	715896	Y	rs1470251	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs480617	chr11	745131	Y	rs1568889	Bipolar Disorder	PSYCH	HSP90AA2	Yuan Jiang et al. Genetic epidemiology 2011	21254220	0.00		3324
rs480617	chr11	742286	Y	rs7932354	Bone Density	METABOLIC	ZNF408	Fernando Rivadeneira et al. Nature genetics 2009	19801982	0.00		79797
rs480617	chr11	746394	Y	rs10501320	Diabetes Mellitus, Type 2	METABOLIC	MADD	Rona J Strawbridge et al. Diabetes 2011	21873549	0.00		8567
rs480617	chr11	722779	Y	rs4752977	Lipoproteins, HDL	METABOLIC	MADD		0	0.00		8567
rs480617	chr11	722778	Y	rs1051006	Lipoproteins, HDL	METABOLIC	MADD		0	0.00		8567
rs480617	chr11	746399	Y	rs10838687	Diabetes Mellitus, Type 2	METABOLIC	MADD	Rona J Strawbridge et al. Diabetes 2011	21873549	0.00		8567
rs480617	chr11	722805	Y	rs749067	Lipoproteins, HDL	METABOLIC	MADD		0	0.00		8567
rs480617	chr11	743041	Y	rs7944584	Glucose Tolerance Test	METABOLIC	MADD	J Dupuis et al. Nature genetics 2010	20081858	0.00		8567
rs480617	chr11	722782	Y	rs4752979	Lipoproteins, HDL	METABOLIC	MADD		0	0.00		8567
rs480617	chr11	707982	N		Cleft Lip|Cleft Palate	DEVELOPMENTAL	NRXN2	Jugessur A  et al.  2010	20634891			9379
rs1456243	chr11	724313	Y	rs2013380	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs1456243	chr11	712400	Y	rs2632057	Asthma	IMMUNE	NAV2		0	0.00		
rs1456243	chr11	740950	Y	rs874426	Attention Deficit Disorder with Hyperactivity	PSYCH	NAV2	Jessica Lasky-Su et al. American journal of medical genetics. Part B, Neuropsychiatric genetics  2008	18937294	0.00		
rs1456243	chr11	747202	Y	rs10741780	HIV-1	INFECTION	NAV2	Jairam R Lingappa et al. PloS one 2012	22174851	0.00		
rs1456243	chr11	722668	Y	rs1425227	Lipoproteins	METABOLIC	NAV2		0	0.00		
rs1456243	chr11	726281	Y	rs2004083	Stroke	NEUROLOGICAL	NAV2		0	0.00		
rs1456243	chr11	724513	Y	rs894558	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs1456243	chr11	712047	Y	rs10734289	Arteries	CARDIOVASCULAR	NAV2		0	0.00		
rs1456243	chr11	715883	Y	rs10741818	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs1456243	chr11	715945	Y	rs1470253	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs1456243	chr11	715896	Y	rs1470251	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs1456243	chr11	745131	Y	rs1568889	Bipolar Disorder	PSYCH	HSP90AA2	Yuan Jiang et al. Genetic epidemiology 2011	21254220	0.00		3324
rs1456243	chr11	746129	Y	rs606458	Gout	METABOLIC	SF1	Adrienne Tin et al. Human molecular genetics 2011	21768215	0.00		7536
rs1908241	chr11	724313	Y	rs2013380	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs1908241	chr11	712400	Y	rs2632057	Asthma	IMMUNE	NAV2		0	0.00		
rs1908241	chr11	740950	Y	rs874426	Attention Deficit Disorder with Hyperactivity	PSYCH	NAV2	Jessica Lasky-Su et al. American journal of medical genetics. Part B, Neuropsychiatric genetics  2008	18937294	0.00		
rs1908241	chr11	747202	Y	rs10741780	HIV-1	INFECTION	NAV2	Jairam R Lingappa et al. PloS one 2012	22174851	0.00		
rs1908241	chr11	722668	Y	rs1425227	Lipoproteins	METABOLIC	NAV2		0	0.00		
rs1908241	chr11	726281	Y	rs2004083	Stroke	NEUROLOGICAL	NAV2		0	0.00		
rs1908241	chr11	724513	Y	rs894558	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs1908241	chr11	712047	Y	rs10734289	Arteries	CARDIOVASCULAR	NAV2		0	0.00		
rs1908241	chr11	715883	Y	rs10741818	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs1908241	chr11	715945	Y	rs1470253	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs1908241	chr11	715896	Y	rs1470251	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs1908241	chr11	745131	Y	rs1568889	Bipolar Disorder	PSYCH	HSP90AA2	Yuan Jiang et al. Genetic epidemiology 2011	21254220	0.00		3324
rs1908241	chr11	746129	Y	rs606458	Gout	METABOLIC	SF1	Adrienne Tin et al. Human molecular genetics 2011	21768215	0.00		7536
rs11226253	chr11	724313	Y	rs2013380	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs11226253	chr11	712400	Y	rs2632057	Asthma	IMMUNE	NAV2		0	0.00		
rs11226253	chr11	740950	Y	rs874426	Attention Deficit Disorder with Hyperactivity	PSYCH	NAV2	Jessica Lasky-Su et al. American journal of medical genetics. Part B, Neuropsychiatric genetics  2008	18937294	0.00		
rs11226253	chr11	747202	Y	rs10741780	HIV-1	INFECTION	NAV2	Jairam R Lingappa et al. PloS one 2012	22174851	0.00		
rs11226253	chr11	722668	Y	rs1425227	Lipoproteins	METABOLIC	NAV2		0	0.00		
rs11226253	chr11	726281	Y	rs2004083	Stroke	NEUROLOGICAL	NAV2		0	0.00		
rs11226253	chr11	724513	Y	rs894558	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs11226253	chr11	712047	Y	rs10734289	Arteries	CARDIOVASCULAR	NAV2		0	0.00		
rs11226253	chr11	715883	Y	rs10741818	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs11226253	chr11	715945	Y	rs1470253	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs11226253	chr11	715896	Y	rs1470251	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs11226253	chr11	746129	Y	rs606458	Gout	METABOLIC	SF1	Adrienne Tin et al. Human molecular genetics 2011	21768215	0.00		7536
rs2115763	chr11	724313	Y	rs2013380	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs2115763	chr11	712400	Y	rs2632057	Asthma	IMMUNE	NAV2		0	0.00		
rs2115763	chr11	740950	Y	rs874426	Attention Deficit Disorder with Hyperactivity	PSYCH	NAV2	Jessica Lasky-Su et al. American journal of medical genetics. Part B, Neuropsychiatric genetics  2008	18937294	0.00		
rs2115763	chr11	747202	Y	rs10741780	HIV-1	INFECTION	NAV2	Jairam R Lingappa et al. PloS one 2012	22174851	0.00		
rs2115763	chr11	722668	Y	rs1425227	Lipoproteins	METABOLIC	NAV2		0	0.00		
rs2115763	chr11	726281	Y	rs2004083	Stroke	NEUROLOGICAL	NAV2		0	0.00		
rs2115763	chr11	724513	Y	rs894558	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs2115763	chr11	712047	Y	rs10734289	Arteries	CARDIOVASCULAR	NAV2		0	0.00		
rs2115763	chr11	715883	Y	rs10741818	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs2115763	chr11	715945	Y	rs1470253	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs2115763	chr11	715896	Y	rs1470251	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs2115763	chr11	746129	Y	rs606458	Gout	METABOLIC	SF1	Adrienne Tin et al. Human molecular genetics 2011	21768215	0.00		7536
rs2115763	chr11	702004	N		Type 2 Diabetes| edema | rosiglitazone	PHARMACOGENOMIC	BCO2	Bailey SD  et al.  2010	20628086			83875
rs2115763	chr11	600563	Y	rs1834481-G	interleukin-18 levels 	IMMUNE	BCO2	He ,et al. Arterioscler Thromb Vasc Biol 2010	20150558	1 x 10-8	European women	
rs2115763	chr11	600562	Y	rs2115763-T	interleukin-18 levels 	IMMUNE	BCO2	He ,et al. Arterioscler Thromb Vasc Biol 2010	20150558	4 x 10-9	European women	
rs2115763	chr11	743136	Y	rs2115763	Interleukin-18	IMMUNE	BCO2	Meian He et al. Arteriosclerosis, thrombosis, and vascular biology 2010	20150558	0.00		83875
rs17610557	chr11	724313	Y	rs2013380	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs17610557	chr11	712400	Y	rs2632057	Asthma	IMMUNE	NAV2		0	0.00		
rs17610557	chr11	740950	Y	rs874426	Attention Deficit Disorder with Hyperactivity	PSYCH	NAV2	Jessica Lasky-Su et al. American journal of medical genetics. Part B, Neuropsychiatric genetics  2008	18937294	0.00		
rs17610557	chr11	747202	Y	rs10741780	HIV-1	INFECTION	NAV2	Jairam R Lingappa et al. PloS one 2012	22174851	0.00		
rs17610557	chr11	722668	Y	rs1425227	Lipoproteins	METABOLIC	NAV2		0	0.00		
rs17610557	chr11	726281	Y	rs2004083	Stroke	NEUROLOGICAL	NAV2		0	0.00		
rs17610557	chr11	724513	Y	rs894558	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs17610557	chr11	712047	Y	rs10734289	Arteries	CARDIOVASCULAR	NAV2		0	0.00		
rs17610557	chr11	715883	Y	rs10741818	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs17610557	chr11	715945	Y	rs1470253	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs17610557	chr11	715896	Y	rs1470251	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs17610557	chr11	746129	Y	rs606458	Gout	METABOLIC	SF1	Adrienne Tin et al. Human molecular genetics 2011	21768215	0.00		7536
rs17532157	chr11	724313	Y	rs2013380	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs17532157	chr11	712400	Y	rs2632057	Asthma	IMMUNE	NAV2		0	0.00		
rs17532157	chr11	740950	Y	rs874426	Attention Deficit Disorder with Hyperactivity	PSYCH	NAV2	Jessica Lasky-Su et al. American journal of medical genetics. Part B, Neuropsychiatric genetics  2008	18937294	0.00		
rs17532157	chr11	747202	Y	rs10741780	HIV-1	INFECTION	NAV2	Jairam R Lingappa et al. PloS one 2012	22174851	0.00		
rs17532157	chr11	722668	Y	rs1425227	Lipoproteins	METABOLIC	NAV2		0	0.00		
rs17532157	chr11	726281	Y	rs2004083	Stroke	NEUROLOGICAL	NAV2		0	0.00		
rs17532157	chr11	724513	Y	rs894558	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs17532157	chr11	712047	Y	rs10734289	Arteries	CARDIOVASCULAR	NAV2		0	0.00		
rs17532157	chr11	715883	Y	rs10741818	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs17532157	chr11	715945	Y	rs1470253	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs17532157	chr11	715896	Y	rs1470251	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs17532157	chr11	746129	Y	rs606458	Gout	METABOLIC	SF1	Adrienne Tin et al. Human molecular genetics 2011	21768215	0.00		7536
rs17532479	chr11	724313	Y	rs2013380	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs17532479	chr11	712400	Y	rs2632057	Asthma	IMMUNE	NAV2		0	0.00		
rs17532479	chr11	740950	Y	rs874426	Attention Deficit Disorder with Hyperactivity	PSYCH	NAV2	Jessica Lasky-Su et al. American journal of medical genetics. Part B, Neuropsychiatric genetics  2008	18937294	0.00		
rs17532479	chr11	747202	Y	rs10741780	HIV-1	INFECTION	NAV2	Jairam R Lingappa et al. PloS one 2012	22174851	0.00		
rs17532479	chr11	722668	Y	rs1425227	Lipoproteins	METABOLIC	NAV2		0	0.00		
rs17532479	chr11	726281	Y	rs2004083	Stroke	NEUROLOGICAL	NAV2		0	0.00		
rs17532479	chr11	724513	Y	rs894558	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs17532479	chr11	712047	Y	rs10734289	Arteries	CARDIOVASCULAR	NAV2		0	0.00		
rs17532479	chr11	715883	Y	rs10741818	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs17532479	chr11	715945	Y	rs1470253	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs17532479	chr11	715896	Y	rs1470251	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs17532479	chr11	746129	Y	rs606458	Gout	METABOLIC	SF1	Adrienne Tin et al. Human molecular genetics 2011	21768215	0.00		7536
rs11606746	chr11	724313	Y	rs2013380	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs11606746	chr11	712400	Y	rs2632057	Asthma	IMMUNE	NAV2		0	0.00		
rs11606746	chr11	740950	Y	rs874426	Attention Deficit Disorder with Hyperactivity	PSYCH	NAV2	Jessica Lasky-Su et al. American journal of medical genetics. Part B, Neuropsychiatric genetics  2008	18937294	0.00		
rs11606746	chr11	747202	Y	rs10741780	HIV-1	INFECTION	NAV2	Jairam R Lingappa et al. PloS one 2012	22174851	0.00		
rs11606746	chr11	722668	Y	rs1425227	Lipoproteins	METABOLIC	NAV2		0	0.00		
rs11606746	chr11	726281	Y	rs2004083	Stroke	NEUROLOGICAL	NAV2		0	0.00		
rs11606746	chr11	724513	Y	rs894558	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs11606746	chr11	712047	Y	rs10734289	Arteries	CARDIOVASCULAR	NAV2		0	0.00		
rs11606746	chr11	715883	Y	rs10741818	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs11606746	chr11	715945	Y	rs1470253	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs11606746	chr11	715896	Y	rs1470251	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs11606746	chr11	746129	Y	rs606458	Gout	METABOLIC	SF1	Adrienne Tin et al. Human molecular genetics 2011	21768215	0.00		7536
rs17611093	chr11	724313	Y	rs2013380	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs17611093	chr11	712400	Y	rs2632057	Asthma	IMMUNE	NAV2		0	0.00		
rs17611093	chr11	740950	Y	rs874426	Attention Deficit Disorder with Hyperactivity	PSYCH	NAV2	Jessica Lasky-Su et al. American journal of medical genetics. Part B, Neuropsychiatric genetics  2008	18937294	0.00		
rs17611093	chr11	747202	Y	rs10741780	HIV-1	INFECTION	NAV2	Jairam R Lingappa et al. PloS one 2012	22174851	0.00		
rs17611093	chr11	722668	Y	rs1425227	Lipoproteins	METABOLIC	NAV2		0	0.00		
rs17611093	chr11	726281	Y	rs2004083	Stroke	NEUROLOGICAL	NAV2		0	0.00		
rs17611093	chr11	724513	Y	rs894558	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs17611093	chr11	712047	Y	rs10734289	Arteries	CARDIOVASCULAR	NAV2		0	0.00		
rs17611093	chr11	715883	Y	rs10741818	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs17611093	chr11	715945	Y	rs1470253	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs17611093	chr11	715896	Y	rs1470251	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs17611093	chr11	746129	Y	rs606458	Gout	METABOLIC	SF1	Adrienne Tin et al. Human molecular genetics 2011	21768215	0.00		7536
rs11604887	chr11	724313	Y	rs2013380	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs11604887	chr11	712400	Y	rs2632057	Asthma	IMMUNE	NAV2		0	0.00		
rs11604887	chr11	740950	Y	rs874426	Attention Deficit Disorder with Hyperactivity	PSYCH	NAV2	Jessica Lasky-Su et al. American journal of medical genetics. Part B, Neuropsychiatric genetics  2008	18937294	0.00		
rs11604887	chr11	747202	Y	rs10741780	HIV-1	INFECTION	NAV2	Jairam R Lingappa et al. PloS one 2012	22174851	0.00		
rs11604887	chr11	722668	Y	rs1425227	Lipoproteins	METABOLIC	NAV2		0	0.00		
rs11604887	chr11	726281	Y	rs2004083	Stroke	NEUROLOGICAL	NAV2		0	0.00		
rs11604887	chr11	724513	Y	rs894558	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs11604887	chr11	712047	Y	rs10734289	Arteries	CARDIOVASCULAR	NAV2		0	0.00		
rs11604887	chr11	715883	Y	rs10741818	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs11604887	chr11	715945	Y	rs1470253	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs11604887	chr11	715896	Y	rs1470251	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs11604887	chr11	746129	Y	rs606458	Gout	METABOLIC	SF1	Adrienne Tin et al. Human molecular genetics 2011	21768215	0.00		7536
rs17541153	chr11	724313	Y	rs2013380	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs17541153	chr11	712400	Y	rs2632057	Asthma	IMMUNE	NAV2		0	0.00		
rs17541153	chr11	740950	Y	rs874426	Attention Deficit Disorder with Hyperactivity	PSYCH	NAV2	Jessica Lasky-Su et al. American journal of medical genetics. Part B, Neuropsychiatric genetics  2008	18937294	0.00		
rs17541153	chr11	747202	Y	rs10741780	HIV-1	INFECTION	NAV2	Jairam R Lingappa et al. PloS one 2012	22174851	0.00		
rs17541153	chr11	722668	Y	rs1425227	Lipoproteins	METABOLIC	NAV2		0	0.00		
rs17541153	chr11	726281	Y	rs2004083	Stroke	NEUROLOGICAL	NAV2		0	0.00		
rs17541153	chr11	724513	Y	rs894558	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs17541153	chr11	712047	Y	rs10734289	Arteries	CARDIOVASCULAR	NAV2		0	0.00		
rs17541153	chr11	715883	Y	rs10741818	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs17541153	chr11	715945	Y	rs1470253	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs17541153	chr11	715896	Y	rs1470251	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs17541153	chr11	746129	Y	rs606458	Gout	METABOLIC	SF1	Adrienne Tin et al. Human molecular genetics 2011	21768215	0.00		7536
rs1633550	chr11	724313	Y	rs2013380	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs1633550	chr11	712400	Y	rs2632057	Asthma	IMMUNE	NAV2		0	0.00		
rs1633550	chr11	740950	Y	rs874426	Attention Deficit Disorder with Hyperactivity	PSYCH	NAV2	Jessica Lasky-Su et al. American journal of medical genetics. Part B, Neuropsychiatric genetics  2008	18937294	0.00		
rs1633550	chr11	747202	Y	rs10741780	HIV-1	INFECTION	NAV2	Jairam R Lingappa et al. PloS one 2012	22174851	0.00		
rs1633550	chr11	722668	Y	rs1425227	Lipoproteins	METABOLIC	NAV2		0	0.00		
rs1633550	chr11	726281	Y	rs2004083	Stroke	NEUROLOGICAL	NAV2		0	0.00		
rs1633550	chr11	724513	Y	rs894558	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs1633550	chr11	712047	Y	rs10734289	Arteries	CARDIOVASCULAR	NAV2		0	0.00		
rs1633550	chr11	715883	Y	rs10741818	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs1633550	chr11	715945	Y	rs1470253	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs1633550	chr11	715896	Y	rs1470251	Cell Adhesion Molecules	CARDIOVASCULAR	NAV2		0	0.00		
rs1633550	chr11	746129	Y	rs606458	Gout	METABOLIC	SF1	Adrienne Tin et al. Human molecular genetics 2011	21768215	0.00		7536
rs1633548	chr11	724313	Y	rs2013380	Myocardial Infarction	CARDIOVASCULAR	NAV2		0	0.00		
rs1633548	chr11	712400	Y	rs2632057	Asthma	IMMUNE	NAV2		0	0.00		
