Pathway ID	Description	Parent(s)	p-Value	Genes Involved	Variation IDs
R-HSA-2559580	Oxidative Stress Induced Senescence	Cellular responses to external stimuli	0.217960	HIST1H2BN,TNRC6A	rs200991,rs200995,rs201002,rs9930029
R-HSA-380972	Energy dependent regulation of mTOR by LKB1-AMPK	Signal Transduction	0.223258	PRKAG2	rs7780008
R-HSA-390918	Peroxisomal lipid metabolism	Metabolism	0.223258	ACOXL	rs10187034,rs6706577
R-HSA-525793	Myogenesis	Developmental Biology	0.223258	CTNNA2	rs13390216
R-HSA-8863795	Downregulation of ERBB2 signaling	Signal Transduction	0.223258	ERBB3	rs2292239
R-HSA-556833	Metabolism of lipids	Metabolism	0.224702	SLC44A3,ACAD10,SCD5,SBF2,PRKAG2,RORA,GM2A,ACOXL,ABCA1,SGMS1	rs10187034,rs10500712,rs12686004,rs17005996,rs17237810,rs17659728,rs2842107,rs634389,rs6706577,rs7780008,rs782916,rs859065
R-HSA-114452	Activation of BH3-only proteins	Programmed Cell Death	0.230004	YWHAE	rs16945811
R-HSA-420029	Tight junction interactions	Cell-Cell communication	0.230004	CLDN10	rs7995795
R-HSA-5687128	MAPK6/MAPK4 signaling	Signal Transduction	0.233933	CCND3,TNRC6A	rs4607417,rs9930029
R-HSA-8939211	ESR-mediated signaling	Signal Transduction	0.234261	HIST1H2BN,TNRC6A,RUNX1	rs200991,rs200995,rs201002,rs41513350,rs9930029
R-HSA-182971	EGFR downregulation	Signal Transduction	0.236693	PTPRK	rs2326671
R-HSA-399719	Trafficking of AMPA receptors	Neuronal System	0.236693	GRIA1	rs10035262
R-HSA-399721	Glutamate binding, activation of AMPA receptors and synaptic plasticity	Neuronal System	0.236693	GRIA1	rs10035262
R-HSA-8941326	RUNX2 regulates bone development	Gene expression (Transcription)	0.236693	GLI3	rs3735361
R-HSA-8949613	Cristae formation	Organelle biogenesis and maintenance	0.236693	SAMM50	rs738494
R-HSA-2672351	Stimuli-sensing channels	Transport of small molecules	0.237138	ANO3,SLC17A3	rs10834986,rs523383,rs7945815
R-HSA-425393	Transport of inorganic cations/anions and amino acids/oligopeptides	Transport of small molecules	0.237138	AHCYL2,SLC9A9	rs1135438,rs2566878
R-HSA-5689603	UCH proteinases	Metabolism of proteins	0.240345	INO80C,TGFBR2	rs17025857,rs355334
R-HSA-5619115	Disorders of transmembrane transporters	Disease	0.241175	ABCA1,SLC9A9,ABCA12	rs1135438,rs12686004,rs1409612
R-HSA-1251985	Nuclear signaling by ERBB4	Signal Transduction	0.243324	WWOX	rs8063113
R-HSA-171306	Packaging Of Telomere Ends	Cell Cycle	0.243324	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-2173789	TGF-beta receptor signaling activates SMADs	Signal Transduction	0.243324	TGFBR2	rs17025857
R-HSA-392518	Signal amplification	Hemostasis	0.243324	P2RY12	rs3821664
R-HSA-9022692	Regulation of MECP2 expression and activity	Gene expression (Transcription)	0.243324	TNRC6A	rs9930029
R-HSA-162582	Signal Transduction	Signal Transduction	0.243513	GNAS,TNS3,P2RY12,PTPRK,WWOX,PRKAG2,SYNGAP1,YWHAE,PDE1C,CCND3,BCO2,LAMA2,ITGA2,ABCA1,PDE6A,HIST1H2BN,TIAM1,ERBB3,GRM8,COL27A1,NPSR1,TNRC6A,TGFBR2,RUNX1,ZW10,MOB1A,CAMKMT,ADCY8,GLI3,ARHGAP32	rs10265492,rs10487463,rs10807124,rs11126425,rs11700615,rs12686004,rs1435447,rs16945811,rs17025857,rs17160736,rs17541153,rs200991,rs200995,rs201002,rs2115763,rs2292239,rs2326671,rs323925,rs3735361,rs3776069,rs3821664,rs41513350,rs43188,rs4607417,rs4979354,rs511296,rs6721746,rs7780008,rs8063113,rs919197,rs9375615,rs9930029
R-HSA-211000	Gene Silencing by RNA	Gene expression (Transcription)	0.246765	HIST1H2BN,TNRC6A	rs200991,rs200995,rs201002,rs9930029
R-HSA-2559585	Oncogene Induced Senescence	Cellular responses to external stimuli	0.249897	TNRC6A	rs9930029
R-HSA-420092	Glucagon-type ligand receptors	Signal Transduction	0.249897	GNAS	rs919197
R-HSA-5694530	Cargo concentration in the ER	Vesicle-mediated transport;Metabolism of proteins	0.249897	GRIA1	rs10035262
R-HSA-68875	Mitotic Prophase	Cell Cycle	0.262840	HIST1H2BN,NEK6	rs16927327,rs200991,rs200995,rs201002
R-HSA-73728	RNA Polymerase I Promoter Opening	Gene expression (Transcription)	0.262876	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-397014	Muscle contraction	Muscle contraction	0.264457	CACNB2,MYBPC1,FGF14	rs11110901,rs11838497,rs4237348
R-HSA-71291	Metabolism of amino acids and derivatives	Metabolism	0.265489	TPH1	rs10741734
R-HSA-110330	Recognition and association of DNA glycosylase with site containing an affected purine	DNA Repair	0.269282	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-110331	Cleavage of the damaged purine	DNA Repair	0.269282	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-3301854	Nuclear Pore Complex (NPC) Disassembly	Cell Cycle	0.269282	NEK6	rs16927327
R-HSA-390522	Striated Muscle Contraction	Muscle contraction	0.269282	MYBPC1	rs11110901
R-HSA-5334118	DNA methylation	Gene expression (Transcription)	0.269282	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-73927	Depurination	DNA Repair	0.269282	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-176187	Activation of ATR in response to replication stress	Cell Cycle	0.275633	HUS1	rs7783847
R-HSA-5685938	HDR through Single Strand Annealing (SSA)	DNA Repair	0.275633	HUS1	rs7783847
R-HSA-77289	Mitochondrial Fatty Acid Beta-Oxidation	Metabolism	0.275633	ACAD10	rs634389
R-HSA-1280215	Cytokine Signaling in Immune system	Immune System	0.276966	SYNGAP1,RORA,HLA-DQA1,ERBB3,STAT4	rs10807124,rs17237810,rs2292239,rs782916,rs9272346,rs9272723,rs9967792
R-HSA-5083635	Defective B3GALTL causes Peters-plus syndrome (PpS)	Disease	0.281929	THSD4	rs11858454,rs8032794
R-HSA-5689896	Ovarian tumor domain proteases	Metabolism of proteins	0.281929	OTUD7A	rs12907720,rs7170060
R-HSA-5696394	DNA Damage Recognition in GG-NER	DNA Repair	0.281929	INO80C	rs355334
R-HSA-8864260	Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	Gene expression (Transcription)	0.281929	WWOX	rs8063113
R-HSA-8950505	Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation	Immune System	0.281929	STAT4	rs9967792
R-HSA-1474165	Reproduction	Reproduction	0.282142	HIST1H2BN,OVGP1	rs1264882,rs200991,rs200995,rs201002
R-HSA-1989781	PPARA activates gene expression	Metabolism	0.282142	RORA,ABCA1	rs12686004,rs17237810,rs782916
R-HSA-5173214	O-glycosylation of TSR domain-containing proteins	Metabolism of proteins	0.288171	THSD4	rs11858454,rs8032794
R-HSA-5625886	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Signal Transduction	0.288171	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-5693616	Presynaptic phase of homologous DNA pairing and strand exchange	DNA Repair	0.288171	HUS1	rs7783847
R-HSA-6783310	Fanconi Anemia Pathway	DNA Repair	0.288171	FANCL	rs6732505
R-HSA-400206	Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)	Metabolism	0.288570	RORA,ABCA1	rs12686004,rs17237810,rs782916
R-HSA-5693567	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	DNA Repair	0.288570	HIST1H2BN,HUS1	rs200991,rs200995,rs201002,rs7783847
R-HSA-425407	SLC-mediated transmembrane transport	Transport of small molecules	0.291739	SLC44A3,RUNX1,AHCYL2,SLC9A9	rs1135438,rs2566878,rs41513350,rs859065
R-HSA-1483191	Synthesis of PC	Metabolism	0.294359	SLC44A3	rs859065
R-HSA-165159	mTOR signalling	Signal Transduction	0.294359	PRKAG2	rs7780008
R-HSA-4085001	Sialic acid metabolism	Metabolism of proteins	0.294359	ST6GALNAC5	rs41515647
R-HSA-427359	SIRT1 negatively regulates rRNA expression	Gene expression (Transcription)	0.294359	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-110328	Recognition and association of DNA glycosylase with site containing an affected pyrimidine	DNA Repair	0.300494	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-110329	Cleavage of the damaged pyrimidine 	DNA Repair	0.300494	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-73928	Depyrimidination	DNA Repair	0.300494	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-9609736	Assembly and cell surface presentation of NMDA receptors	Neuronal System	0.300494	APBA1	rs11138830
R-HSA-9006931	Signaling by Nuclear Receptors	Signal Transduction	0.303105	HIST1H2BN,ABCA1,TNRC6A,RUNX1	rs12686004,rs200991,rs200995,rs201002,rs41513350,rs9930029
R-HSA-3928662	EPHB-mediated forward signaling	Developmental Biology	0.306576	TIAM1	rs11700615
R-HSA-419037	NCAM1 interactions	Developmental Biology	0.306576	CACNB2	rs4237348
R-HSA-5693579	Homologous DNA Pairing and Strand Exchange	DNA Repair	0.306576	HUS1	rs7783847
R-HSA-8854214	TBC/RABGAPs	Vesicle-mediated transport	0.306576	RAB5B	rs1873914,rs705698
R-HSA-5693538	Homology Directed Repair	DNA Repair	0.307812	HIST1H2BN,HUS1	rs200991,rs200995,rs201002,rs7783847
R-HSA-3371511	HSF1 activation	Cellular responses to external stimuli	0.312606	YWHAE	rs16945811
R-HSA-73929	Base-Excision Repair, AP Site Formation	DNA Repair	0.312606	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-1660661	Sphingolipid de novo biosynthesis	Metabolism	0.318584	SGMS1	rs2842107
R-HSA-451927	Interleukin-2 family signaling	Immune System	0.318584	STAT4	rs9967792
R-HSA-69231	Cyclin D associated events in G1	Cell Cycle	0.318584	CCND3	rs4607417
R-HSA-69236	G1 Phase	Cell Cycle	0.318584	CCND3	rs4607417
R-HSA-8878166	Transcriptional regulation by RUNX2	Gene expression (Transcription)	0.320589	RUNX1,GLI3	rs3735361,rs41513350
R-HSA-977444	GABA B receptor activation	Neuronal System	0.324510	ADCY8	rs1435447
R-HSA-991365	Activation of GABAB receptors	Neuronal System	0.324510	ADCY8	rs1435447
R-HSA-69620	Cell Cycle Checkpoints	Cell Cycle	0.328096	YWHAE,HIST1H2BN,HUS1,ZW10	rs16945811,rs17541153,rs200991,rs200995,rs201002,rs7783847
R-HSA-212300	PRC2 methylates histones and DNA	Gene expression (Transcription)	0.330385	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-2299718	Condensation of Prophase Chromosomes	Cell Cycle	0.330385	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-9020591	Interleukin-12 signaling	Immune System	0.336210	STAT4	rs9967792
R-HSA-194840	Rho GTPase cycle	Signal Transduction	0.336483	ARHGAP32,TIAM1	rs11700615,rs511296
R-HSA-5576891	Cardiac conduction	Muscle contraction	0.336483	CACNB2,FGF14	rs11838497,rs4237348
R-HSA-8939243	RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known	Gene expression (Transcription)	0.341985	RUNX1	rs41513350
R-HSA-8948216	Collagen chain trimerization	Extracellular matrix organization	0.341985	COL27A1	rs4979354
R-HSA-5683057	MAPK family signaling cascades	Signal Transduction	0.344967	ERBB3,SYNGAP1,CCND3,TNRC6A	rs10807124,rs2292239,rs4607417,rs9930029
R-HSA-1474244	Extracellular matrix organization	Extracellular matrix organization	0.346320	LAMA2,ITGA2,COL27A1,SCUBE3	rs43188,rs4713843,rs4979354,rs9375615
R-HSA-177929	Signaling by EGFR	Signal Transduction	0.347710	PTPRK	rs2326671
R-HSA-75105	Fatty acyl-CoA biosynthesis	Metabolism	0.347710	SCD5	rs17005996
R-HSA-975634	Retinoid metabolism and transport	Metabolism;Signal Transduction	0.347710	BCO2	rs2115763
R-HSA-1227986	Signaling by ERBB2	Signal Transduction	0.353385	ERBB3	rs2292239
R-HSA-1660499	Synthesis of PIPs at the plasma membrane	Metabolism	0.359012	SBF2	rs10500712
R-HSA-3928665	EPH-ephrin mediated repulsion of cells	Developmental Biology	0.359012	TIAM1	rs11700615
R-HSA-73887	Death Receptor Signalling	Signal Transduction	0.361680	YWHAE,TIAM1	rs11700615,rs16945811
R-HSA-1660662	Glycosphingolipid metabolism	Metabolism	0.364590	GM2A	rs17659728
R-HSA-109606	Intrinsic Pathway for Apoptosis	Programmed Cell Death	0.370121	YWHAE	rs16945811
R-HSA-2980766	Nuclear Envelope Breakdown	Cell Cycle	0.370121	NEK6	rs16927327
R-HSA-606279	Deposition of new CENPA-containing nucleosomes at the centromere	Cell Cycle	0.370121	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-6806667	Metabolism of fat-soluble vitamins	Metabolism	0.370121	BCO2	rs2115763
R-HSA-774815	Nucleosome assembly	Cell Cycle	0.370121	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-8866654	E3 ubiquitin ligases ubiquitinate target proteins	Metabolism of proteins	0.370121	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-427389	ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	Gene expression (Transcription)	0.375603	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-8848021	Signaling by PTK6	Signal Transduction	0.381038	ERBB3	rs2292239
R-HSA-9006927	Signaling by Non-Receptor Tyrosine Kinases	Signal Transduction	0.381038	ERBB3	rs2292239
R-HSA-3781865	Diseases of glycosylation	Disease	0.383442	PGM1,THSD4	rs11208264,rs11858454,rs2269238,rs2269239,rs2269241,rs3790857,rs4643,rs8032794
R-HSA-447115	Interleukin-12 family signaling	Immune System	0.391769	STAT4	rs9967792
R-HSA-193648	NRAGE signals death through JNK	Signal Transduction	0.397065	TIAM1	rs11700615
R-HSA-420499	Class C/3 (Metabotropic glutamate/pheromone receptors)	Signal Transduction	0.397065	GRM8	rs10487463
R-HSA-3858494	Beta-catenin independent WNT signaling	Signal Transduction	0.401846	PDE6A,TNRC6A	rs3776069,rs9930029
R-HSA-1221632	Meiotic synapsis	Reproduction;Cell Cycle	0.402315	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-2559586	DNA Damage/Telomere Stress Induced Senescence	Cellular responses to external stimuli	0.407520	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-5693571	Nonhomologous End-Joining (NHEJ)	DNA Repair	0.407520	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-9639288	Amino acids regulate mTORC1	Cellular responses to external stimuli	0.412681	DEPDC5	rs5994443
R-HSA-157579	Telomere Maintenance	Cell Cycle	0.417796	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-194315	Signaling by Rho GTPases	Signal Transduction	0.418076	HIST1H2BN,YWHAE,TIAM1,ZW10,ARHGAP32	rs11700615,rs16945811,rs17541153,rs200991,rs200995,rs201002,rs511296
R-HSA-375165	NCAM signaling for neurite out-growth	Developmental Biology	0.422868	CACNB2	rs4237348
R-HSA-912446	Meiotic recombination	Reproduction;Cell Cycle	0.422868	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-201722	Formation of the beta-catenin:TCF transactivating complex	Signal Transduction	0.427896	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-202430	Translocation of ZAP-70 to Immunological synapse	Immune System	0.427896	HLA-DQA1	rs9272346,rs9272723
R-HSA-3214815	HDACs deacetylate histones	Chromatin organization	0.427896	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-8873719	RAB geranylgeranylation	Metabolism of proteins	0.427896	RAB5B	rs1873914,rs705698
R-HSA-1268020	Mitochondrial protein import	Protein localization	0.432881	SAMM50	rs738494
R-HSA-2022090	Assembly of collagen fibrils and other multimeric structures	Extracellular matrix organization	0.432881	COL27A1	rs4979354
R-HSA-421270	Cell-cell junction organization	Cell-Cell communication	0.432881	CLDN10	rs7995795
R-HSA-429914	Deadenylation-dependent mRNA decay	Metabolism of RNA	0.437822	PAN3	rs9554277,rs9554296
R-HSA-3371497	HSP90 chaperone cycle for steroid hormone receptors (SHR)	Cellular responses to external stimuli	0.442721	NR3C2	rs17484678
R-HSA-5685942	HDR through Homologous Recombination (HRR)	DNA Repair	0.442721	HUS1	rs7783847
R-HSA-449147	Signaling by Interleukins	Immune System	0.443564	RORA,STAT4	rs17237810,rs782916,rs9967792
R-HSA-202427	Phosphorylation of CD3 and TCR zeta chains	Immune System	0.447578	HLA-DQA1	rs9272346,rs9272723
R-HSA-204005	COPII-mediated vesicle transport	Vesicle-mediated transport;Metabolism of proteins	0.447578	GRIA1	rs10035262
R-HSA-389948	PD-1 signaling	Immune System	0.447578	HLA-DQA1	rs9272346,rs9272723
R-HSA-174824	Plasma lipoprotein assembly, remodeling, and clearance	Transport of small molecules	0.457166	ABCA1	rs12686004
R-HSA-400253	Circadian Clock	Circadian Clock	0.457166	RORA	rs17237810,rs782916
R-HSA-5250924	B-WICH complex positively regulates rRNA expression	Gene expression (Transcription)	0.457166	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-157118	Signaling by NOTCH	Signal Transduction	0.461059	HIST1H2BN,TNRC6A,RUNX1	rs200991,rs200995,rs201002,rs41513350,rs9930029
R-HSA-1650814	Collagen biosynthesis and modifying enzymes	Extracellular matrix organization	0.461898	COL27A1	rs4979354
R-HSA-3906995	Diseases associated with O-glycosylation of proteins	Disease	0.461898	THSD4	rs11858454,rs8032794
R-HSA-73884	Base Excision Repair	DNA Repair	0.461898	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-170834	Signaling by TGF-beta Receptor Complex	Signal Transduction	0.471240	TGFBR2	rs17025857
R-HSA-5610785	GLI3 is processed to GLI3R by the proteasome	Signal Transduction	0.471240	GLI3	rs3735361
R-HSA-8852135	Protein ubiquitination	Metabolism of proteins	0.471240	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-8951664	Neddylation	Metabolism of proteins	0.479611	ASB5,ASB7,TULP4	rs2128427,rs341160,rs6598368
R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer	Disease	0.480421	ERBB3	rs2292239
R-HSA-73772	RNA Polymerase I Promoter Escape	Gene expression (Transcription)	0.480421	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-380259	Loss of Nlp from mitotic centrosomes	Cell Cycle	0.484952	YWHAE	rs16945811
R-HSA-380284	Loss of proteins required for interphase microtubule organization from the centrosome	Cell Cycle	0.484952	YWHAE	rs16945811
R-HSA-418555	G alpha (s) signalling events	Signal Transduction	0.490455	GNAS,NPSR1,ADCY8	rs1435447,rs323925,rs919197
R-HSA-202433	Generation of second messenger molecules	Immune System	0.493898	HLA-DQA1	rs9272346,rs9272723
R-HSA-8854518	AURKA Activation by TPX2	Cell Cycle	0.498313	YWHAE	rs16945811
R-HSA-416482	G alpha (12/13) signalling events	Signal Transduction	0.502690	TIAM1	rs11700615
R-HSA-1483255	PI Metabolism	Metabolism	0.507029	SBF2	rs10500712
R-HSA-977225	Amyloid fiber formation	Metabolism of proteins	0.507029	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-5658442	Regulation of RAS by GAPs	Immune System;Signal Transduction	0.511331	SYNGAP1	rs10807124
R-HSA-71387	Metabolism of carbohydrates	Metabolism	0.523854	PGM1	rs11208264,rs2269238,rs2269239,rs2269241,rs3790857,rs4643
R-HSA-216083	Integrin cell surface interactions	Extracellular matrix organization	0.524014	ITGA2	rs43188
R-HSA-418346	Platelet homeostasis	Hemostasis	0.524014	GNAS	rs919197
R-HSA-913531	Interferon Signaling	Immune System	0.525833	HLA-DQA1	rs9272346,rs9272723
R-HSA-2559582	Senescence-Associated Secretory Phenotype (SASP)	Cellular responses to external stimuli	0.532288	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-380270	Recruitment of mitotic centrosome proteins and complexes	Cell Cycle	0.532288	YWHAE	rs16945811
R-HSA-380287	Centrosome maturation	Cell Cycle	0.532288	YWHAE	rs16945811
R-HSA-5696399	Global Genome Nucleotide Excision Repair (GG-NER)	DNA Repair	0.540419	INO80C	rs355334
R-HSA-73886	Chromosome Maintenance	Cell Cycle	0.540419	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-9006925	Intracellular signaling by second messengers	Signal Transduction	0.541839	ERBB3,PDE1C,TNRC6A,ADCY8	rs1435447,rs17160736,rs2292239,rs9930029
R-HSA-381340	Transcriptional regulation of white adipocyte differentiation	Developmental Biology	0.544432	CCND3	rs4607417
R-HSA-427413	NoRC negatively regulates rRNA expression	Gene expression (Transcription)	0.548411	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-5250913	Positive epigenetic regulation of rRNA expression	Gene expression (Transcription)	0.548411	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-2682334	EPH-Ephrin signaling	Developmental Biology	0.552355	TIAM1	rs11700615
R-HSA-446728	Cell junction organization	Cell-Cell communication	0.552355	CLDN10	rs7995795
R-HSA-5617472	Activation of anterior HOX genes in hindbrain development during early embryogenesis	Developmental Biology	0.552355	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-5619507	Activation of HOX genes during differentiation	Developmental Biology	0.552355	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-1474290	Collagen formation	Extracellular matrix organization	0.560141	COL27A1	rs4979354
R-HSA-2565942	Regulation of PLK1 Activity at G2/M Transition	Cell Cycle	0.560141	YWHAE	rs16945811
R-HSA-373080	Class B/2 (Secretin family receptors)	Signal Transduction	0.560141	GNAS	rs919197
R-HSA-5250941	Negative epigenetic regulation of rRNA expression	Gene expression (Transcription)	0.560141	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-141424	Amplification of signal from the kinetochores	Cell Cycle	0.563983	ZW10	rs17541153
R-HSA-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	Cell Cycle	0.563983	ZW10	rs17541153
R-HSA-1500620	Meiosis	Reproduction;Cell Cycle	0.563983	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-3371453	Regulation of HSF1-mediated heat shock response	Cellular responses to external stimuli	0.563983	YWHAE	rs16945811
R-HSA-5632684	Hedgehog 'on' state	Signal Transduction	0.579024	GLI3	rs3735361
R-HSA-1632852	Macroautophagy	Autophagy	0.582703	PRKAG2	rs7780008
R-HSA-380320	Recruitment of NuMA to mitotic centrosomes	Cell Cycle	0.582703	YWHAE	rs16945811
R-HSA-5619102	SLC transporter disorders	Disease	0.582703	SLC9A9	rs1135438
R-HSA-73854	RNA Polymerase I Promoter Clearance	Gene expression (Transcription)	0.582703	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-68886	M Phase	Cell Cycle	0.584008	HIST1H2BN,NEK6,YWHAE,ZW10	rs16927327,rs16945811,rs17541153,rs200991,rs200995,rs201002
R-HSA-3700989	Transcriptional Regulation by TP53	Gene expression (Transcription)	0.585929	PRKAG2,YWHAE,HUS1,TNRC6A	rs16945811,rs7780008,rs7783847,rs9930029
R-HSA-166520	Signaling by NTRKs	Signal Transduction	0.586351	TIAM1	rs11700615
R-HSA-6811434	COPI-dependent Golgi-to-ER retrograde traffic	Vesicle-mediated transport	0.586351	ZW10	rs17541153
R-HSA-73864	RNA Polymerase I Transcription	Gene expression (Transcription)	0.586351	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-2219528	PI3K/AKT Signaling in Cancer	Disease	0.589967	ERBB3	rs2292239
R-HSA-9006936	Signaling by TGF-beta family members	Signal Transduction	0.589967	TGFBR2	rs17025857
R-HSA-983169	Class I MHC mediated antigen processing & presentation	Immune System	0.593479	ASB5,ASB7	rs2128427,rs6598368
R-HSA-163125	Post-translational modification: synthesis of GPI-anchored proteins	Metabolism of proteins	0.597105	OPCML	rs11223425,rs2155373
R-HSA-5620912	Anchoring of the basal body to the plasma membrane	Organelle biogenesis and maintenance	0.597105	YWHAE	rs16945811
R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	Signal Transduction	0.607582	ERBB3	rs2292239
R-HSA-156580	Phase II - Conjugation of compounds	Metabolism	0.611014	IMPAD1	rs10958514
R-HSA-3214847	HATs acetylate histones	Chromatin organization	0.614417	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-8957275	Post-translational protein phosphorylation	Metabolism of proteins	0.614417	EVA1A	rs17727191
R-HSA-211945	Phase I - Functionalization of compounds	Metabolism	0.617790	ALDH2	rs10744777
R-HSA-5173105	O-linked glycosylation	Metabolism of proteins	0.621133	THSD4	rs11858454,rs8032794
R-HSA-69618	Mitotic Spindle Checkpoint	Cell Cycle	0.621133	ZW10	rs17541153
R-HSA-2262752	Cellular responses to stress	Cellular responses to external stimuli	0.626352	NR3C2,DEPDC5,HIST1H2BN,YWHAE,TNRC6A	rs16945811,rs17484678,rs200991,rs200995,rs201002,rs5994443,rs9930029
R-HSA-8878159	Transcriptional regulation by RUNX3	Gene expression (Transcription)	0.627734	RUNX1	rs41513350
R-HSA-5633007	Regulation of TP53 Activity	Gene expression (Transcription)	0.664150	PRKAG2,HUS1	rs7780008,rs7783847
R-HSA-109582	Hemostasis	Hemostasis	0.665123	DOCK10,GNAS,P2RY12,ITGA2	rs3821664,rs43188,rs4673129,rs919197
R-HSA-2559583	Cellular Senescence	Cellular responses to external stimuli	0.666181	HIST1H2BN,TNRC6A	rs200991,rs200995,rs201002,rs9930029
R-HSA-983712	Ion channel transport	Transport of small molecules	0.682310	ANO3,SLC17A3	rs10834986,rs523383,rs7945815
R-HSA-3108232	SUMO E3 ligases SUMOylate target proteins	Metabolism of proteins	0.683432	NR3C2,RORA	rs17237810,rs17484678,rs782916
R-HSA-2990846	SUMOylation	Metabolism of proteins	0.690261	NR3C2,RORA	rs17237810,rs17484678,rs782916
R-HSA-68877	Mitotic Prometaphase	Cell Cycle	0.705494	YWHAE,ZW10	rs16945811,rs17541153
R-HSA-5689880	Ub-specific processing proteases	Metabolism of proteins	0.715059	USP28,HIST1H2BN	rs1633548,rs1633550,rs200991,rs200995,rs201002,rs2513574,rs2519200
R-HSA-211859	Biological oxidations	Metabolism	0.722283	ALDH2,IMPAD1	rs10744777,rs10958514
R-HSA-1483257	Phospholipid metabolism	Metabolism	0.724696	SLC44A3,SBF2	rs10500712,rs859065
R-HSA-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	Immune System	0.725337	CLEC2D	rs11052372,rs2114870,rs7310460
R-HSA-376176	Signaling by ROBO receptors	Developmental Biology	0.725406	ROBO2	rs9808969
R-HSA-3247509	Chromatin modifying enzymes	Chromatin organization	0.726424	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-4839726	Chromatin organization	Chromatin organization	0.726424	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-6805567	Keratinization	Developmental Biology	0.727266	KRT86	rs10876266
R-HSA-72203	Processing of Capped Intron-Containing Pre-mRNA	Metabolism of RNA	0.729881	CCAR1	rs1566222
R-HSA-76002	Platelet activation, signaling and aggregation	Hemostasis	0.732388	P2RY12	rs3821664
R-HSA-1643685	Disease	Disease	0.732898	YWHAE,ABCA1,PGM1,ERBB3,TGFBR2,THSD4,SLC9A9,ABCA12	rs11208264,rs1135438,rs11858454,rs12686004,rs1409612,rs16945811,rs17025857,rs2269238,rs2269239,rs2269241,rs2292239,rs3790857,rs4643,rs8032794
R-HSA-195258	RHO GTPase Effectors	Signal Transduction	0.743502	HIST1H2BN,YWHAE,ZW10	rs16945811,rs17541153,rs200991,rs200995,rs201002
R-HSA-1852241	Organelle biogenesis and maintenance	Organelle biogenesis and maintenance	0.750446	PRKAG2,YWHAE,SAMM50	rs16945811,rs738494,rs7780008
R-HSA-446203	Asparagine N-linked glycosylation	Metabolism of proteins	0.755679	GRIA1,GFPT2,ST6GALNAC5	rs10035262,rs2112594,rs41515647
