Alpha,Beta,Distance_to_nearest_downstream_x,Distance_to_nearest_upstream_x,Downstream_nearest_genomic_feature_x,Known_Phenotype_x,MAF_x,Overlap_x,Overlap_details_x,Overlapping_genetic_feature_name_x,Rank_x,Synonymous_x,Upstream_nearest_genomic_feature_x,id,name,order,reason to exist,count,Overlap_y,Overlap_details_y,Known_Phenotype_y,Synonymous_y,Upstream_nearest_genomic_feature_y,Downstream_nearest_genomic_feature_y,Distance_to_nearest_upstream_y,Distance_to_nearest_downstream_y,Overlapping_genetic_feature_name_y,MAF_y,Rank_y
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N22N30N39,N22N30N39,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N22N29M0P1,N22N29M0P1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N22N28M1T2,N22N28M1T2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N22N26N39,N22N26N39,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N22N24N37,N22N24N37,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N21N22N35,N21N22N35,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N21,N21,1,Presentation,1,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N20N35M2Q1,N20N35M2Q1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N20N22M0P2,N20N22M0P2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N20N22N35,N20N22N35,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N20N22N34,N20N22N34,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N19M0P2M2Q4,N19M0P2M2Q4,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N19N33M1T3,N19N33M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N19N31M1T2,N19N31M1T2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N19N30M2Q3,N19N30M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N19N24M1T3,N19N24M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N19N22N37,N19N22N37,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N18M1T1M2Q3,N18M1T1M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N18N38M2Q3,N18N38M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N18N38M0P1,N18N38M0P1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N18N36M2Q3,N18N36M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N18N33M0P1,N18N33M0P1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N18N33N36,N18N33N36,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N18N31M2Q3,N18N31M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N18N29N40,N18N29N40,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N18N29N36,N18N29N36,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N18N28M1T1,N18N28M1T1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N18N26N29,N18N26N29,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N18N22M0P1,N18N22M0P1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N18N20N37,N18N20N37,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N17N36M2Q3,N17N36M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N17,N17,1,Presentation,3,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N17N31N37,N17N31N37,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N16M1T2M2Q2,N16M1T2M2Q2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N16M1T2M2Q1,N16M1T2M2Q1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N16M1T2M1T3,N16M1T2M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N16N36M2Q3,N16N36M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N16N33M1T2,N16N33M1T2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N16N31M2Q1,N16N31M2Q1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N16N31M1T2,N16N31M1T2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N16N20N37,N16N20N37,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N16N20N35,N16N20N35,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N16N20N31,N16N20N31,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N16N20N26,N16N20N26,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N16N20N22,N16N20N22,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N15M1T2M2Q2,N15M1T2M2Q2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N15N33M1T3,N15N33M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N15N31M1T2,N15N31M1T2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N15N24N31,N15N24N31,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N15N18M1T3,N15N18M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N14N31M1T3,N14N31M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N14,N14,1,Presentation,2,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N14N20M1T3,N14N20M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N13N40M0P1,N13N40M0P1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N13,N13,1,Presentation,14,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N13N31M2Q3,N13N31M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N13N31N34,N13N31N34,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N13N24M2Q1,N13N24M2Q1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N13N22M2Q4,N13N22M2Q4,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N13N22N39,N13N22N39,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N13N22N31,N13N22N31,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N13N20N37,N13N20N37,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N13N18M2Q3,N13N18M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N13N18N19,N13N18N19,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N13N16N22,N13N16N22,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N12M1T1M2Q3,N12M1T1M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N12M0P1M1T3,N12M0P1M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N12N37M1T1,N12N37M1T1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N12N34N38,N12N34N38,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N12N33M0P1,N12N33M0P1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N12N33N40,N12N33N40,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N12N30N38,N12N30N38,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N12N24N39,N12N24N39,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N12N20N38,N12N20N38,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N12N20N35,N12N20N35,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N12N20N31,N12N20N31,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N12N18M1T1,N12N18M1T1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N12N18N20,N12N18N20,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N12N16N20,N12N16N20,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N11M1T3M2Q1,N11M1T3M2Q1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N11N35M2Q1,N11N35M2Q1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N11N31N36,N11N31N36,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N11N29M2Q3,N11N29M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N11N29M0P1,N11N29M0P1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N11N28M2Q3,N11N28M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N11N24N39,N11N24N39,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N11N24N36,N11N24N36,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N11N22M2Q4,N11N22M2Q4,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N11N22N31,N11N22N31,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N11N20M2Q1,N11N20M2Q1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N11N20M1T3,N11N20M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N11N20N22,N11N20N22,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N11N18M1T3,N11N18M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N11N18N28,N11N18N28,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N11N18N22,N11N18N22,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N11N15M2Q4,N11N15M2Q4,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N11N13N22,N11N13N22,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N11N12N20,N11N12N20,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N10M1T2M1T3,N10M1T2M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N10,N10,1,Presentation,15,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N10M1T1M1T3,N10M1T1M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N10M0P2M2Q4,N10M0P2M2Q4,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N10M0P2M1T3,N10M0P2M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N10N29M1T2,N10N29M1T2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N10N29N37,N10N29N37,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N10N29N31,N10N29N31,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N10N22M1T2,N10N22M1T2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N10N19N36,N10N19N36,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N10N18M1T2,N10N18M1T2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N10N18N38,N10N18N38,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N10N13N35,N10N13N35,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N10N13N19,N10N13N19,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N9M1T1M2Q3,N9M1T1M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N9N38M2Q1,N9N38M2Q1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N9N38M0P1,N9N38M0P1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N9N37M2Q1,N9N37M2Q1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N9N36M1T2,N9N36M1T2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N9N20N39,N9N20N39,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N9N15M2Q1,N9N15M2Q1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N9N15M0P1,N9N15M0P1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N9N12M2Q1,N9N12M2Q1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N9N12M1T1,N9N12M1T1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N9N12N20,N9N12N20,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N9N12N18,N9N12N18,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N9N11N12,N9N11N12,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N9N10M1T3,N9N10M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N8N30M2Q4,N8N30M2Q4,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N8,N8,1,Presentation,2,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N8N24N39,N8N24N39,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N7N36M2Q3,N7N36M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N7N31M2Q3,N7N31M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N7N31M1T3,N7N31M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N7N31N36,N7N31N36,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N7N30N36,N7N30N36,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N7N22M2Q4,N7N22M2Q4,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N7N20N35,N7N20N35,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N7N20N29,N7N20N29,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N7N18M1T3,N7N18M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N7N18N35,N7N18N35,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N6M0P1M1T1,N6M0P1M1T1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N6N40M1T1,N6N40M1T1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N6N34M2Q2,N6N34M2Q2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N6N34M2Q1,N6N34M2Q1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N6N34N38,N6N34N38,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N6N31M2Q1,N6N31M2Q1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N6N26N28,N6N26N28,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N6N20M2Q1,N6N20M2Q1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N6N20N34,N6N20N34,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N6N20N31,N6N20N31,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N6N19N31,N6N19N31,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N6N12N34,N6N12N34,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N6N11N22,N6N11N22,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N6N11N18,N6N11N18,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N6N10N40,N6N10N40,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N6N7M2Q1,N6N7M2Q1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N4N35M2Q4,N4N35M2Q4,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N3M1T2M1T3,N3M1T2M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N3,N3,1,Presentation,14,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N3M1T1M1T3,N3M1T1M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N3N37M2Q1,N3N37M2Q1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N3N37M1T1,N3N37M1T1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N3N35N37,N3N35N37,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N3N31M1T3,N3N31M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N3N19M0P2,N3N19M0P2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N3N15M1T3,N3N15M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N3N9M1T1,N3N9M1T1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N3N9N39,N3N9N39,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N3N9N37,N3N9N37,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N3N9N36,N3N9N36,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2M1T1M2Q2,N2M1T1M2Q2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2M0P1M2Q3,N2M0P1M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2M0P1M2Q1,N2M0P1M2Q1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2N36M2Q1,N2N36M2Q1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2N33M1T1,N2N33M1T1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2N33N37,N2N33N37,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2N32M2Q3,N2N32M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2N31N36,N2N31N36,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2N30M0P2,N2N30M0P2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
