id,source,target,interaction,edge label,Alpha,Beta,order
N10M1T1M1T3,N10,M1T3,N10M1T1M1T3,N10M1T1M1T3,Alpha,None,3
N10M1T2M1T3,N10,M1T2,N10M1T2M1T3,N10M1T2M1T3,Alpha,None,3
N10M1T2M1T3,M1T2,M1T3,N10M1T2M1T3,N10M1T2M1T3,Alpha,None,3
N10M1T2M1T3,N10,M1T3,N10M1T2M1T3,N10M1T2M1T3,Alpha,None,3
N11N12N20,N11,N12,N11N12N20,N11N12N20,Alpha,None,3
N11N12N20,N12,N20,N11N12N20,N11N12N20,Alpha,None,3
N11N12N20,N11,N20,N11N12N20,N11N12N20,Alpha,None,3
N11N13N22,N11,N13,N11N13N22,N11N13N22,Alpha,None,3
N11N13N22,N13,N22,N11N13N22,N11N13N22,Alpha,None,3
N11N13N22,N11,N22,N11N13N22,N11N13N22,Alpha,None,3
N11N15M2Q4,N11,N15,N11N15M2Q4,N11N15M2Q4,Alpha,None,3
N11N15M2Q4,N15,M2Q4,N11N15M2Q4,N11N15M2Q4,Alpha,None,3
N11N15M2Q4,N11,M2Q4,N11N15M2Q4,N11N15M2Q4,Alpha,None,3
N11N18N22,N11,N18,N11N18N22,N11N18N22,Alpha,None,3
N11N18N22,N18,N22,N11N18N22,N11N18N22,Alpha,None,3
N11N18N22,N11,N22,N11N18N22,N11N18N22,Alpha,None,3
N11N18N28,N11,N18,N11N18N28,N11N18N28,Alpha,None,3
N11N18N28,N18,N28,N11N18N28,N11N18N28,Alpha,None,3
N11N18N28,N11,N28,N11N18N28,N11N18N28,Alpha,None,3
N11N18M1T3,N11,N18,N11N18M1T3,N11N18M1T3,Alpha,None,3
N11N18M1T3,N18,M1T3,N11N18M1T3,N11N18M1T3,Alpha,None,3
N11N18M1T3,N11,M1T3,N11N18M1T3,N11N18M1T3,Alpha,None,3
N11N20N22,N11,N20,N11N20N22,N11N20N22,Alpha,None,3
N11N20N22,N20,N22,N11N20N22,N11N20N22,Alpha,None,3
N11N20N22,N11,N22,N11N20N22,N11N20N22,Alpha,None,3
N11N20M1T3,N11,N20,N11N20M1T3,N11N20M1T3,Alpha,None,3
N11N20M1T3,N20,M1T3,N11N20M1T3,N11N20M1T3,Alpha,None,3
N11N20M1T3,N11,M1T3,N11N20M1T3,N11N20M1T3,Alpha,None,3
N11N20M2Q1,N11,N20,N11N20M2Q1,N11N20M2Q1,Alpha,None,3
N11N20M2Q1,N20,M2Q1,N11N20M2Q1,N11N20M2Q1,Alpha,None,3
N11N20M2Q1,N11,M2Q1,N11N20M2Q1,N11N20M2Q1,Alpha,None,3
N11N22N31,N11,N22,N11N22N31,N11N22N31,Alpha,None,3
N11N22N31,N22,N31,N11N22N31,N11N22N31,Alpha,None,3
N11N22N31,N11,N31,N11N22N31,N11N22N31,Alpha,None,3
N11N22M2Q4,N11,N22,N11N22M2Q4,N11N22M2Q4,Alpha,None,3
N11N22M2Q4,N22,M2Q4,N11N22M2Q4,N11N22M2Q4,Alpha,None,3
N11N22M2Q4,N11,M2Q4,N11N22M2Q4,N11N22M2Q4,Alpha,None,3
N11N24N36,N11,N24,N11N24N36,N11N24N36,Alpha,None,3
N11N24N36,N24,N36,N11N24N36,N11N24N36,Alpha,None,3
N11N24N36,N11,N36,N11N24N36,N11N24N36,Alpha,None,3
N11N24N39,N11,N24,N11N24N39,N11N24N39,Alpha,None,3
N11N24N39,N24,N39,N11N24N39,N11N24N39,Alpha,None,3
N11N24N39,N11,N39,N11N24N39,N11N24N39,Alpha,None,3
N11N28M2Q3,N11,N28,N11N28M2Q3,N11N28M2Q3,Alpha,None,3
N11N28M2Q3,N28,M2Q3,N11N28M2Q3,N11N28M2Q3,Alpha,None,3
N11N28M2Q3,N11,M2Q3,N11N28M2Q3,N11N28M2Q3,Alpha,None,3
N11N29M0P1,N11,N29,N11N29M0P1,N11N29M0P1,Alpha,None,3
N11N29M0P1,N29,M0P1,N11N29M0P1,N11N29M0P1,Alpha,None,3
N11N29M0P1,N11,M0P1,N11N29M0P1,N11N29M0P1,Alpha,None,3
N11N29M2Q3,N11,N29,N11N29M2Q3,N11N29M2Q3,Alpha,None,3
N11N29M2Q3,N29,M2Q3,N11N29M2Q3,N11N29M2Q3,Alpha,None,3
N11N29M2Q3,N11,M2Q3,N11N29M2Q3,N11N29M2Q3,Alpha,None,3
N11N31N36,N11,N31,N11N31N36,N11N31N36,Alpha,None,3
N11N31N36,N31,N36,N11N31N36,N11N31N36,Alpha,None,3
N11N31N36,N11,N36,N11N31N36,N11N31N36,Alpha,None,3
N11N35M2Q1,N11,N35,N11N35M2Q1,N11N35M2Q1,Alpha,None,3
N11N35M2Q1,N35,M2Q1,N11N35M2Q1,N11N35M2Q1,Alpha,None,3
N11N35M2Q1,N11,M2Q1,N11N35M2Q1,N11N35M2Q1,Alpha,None,3
N11M1T3M2Q1,N11,M1T3,N11M1T3M2Q1,N11M1T3M2Q1,Alpha,None,3
N11M1T3M2Q1,M1T3,M2Q1,N11M1T3M2Q1,N11M1T3M2Q1,Alpha,None,3
N11M1T3M2Q1,N11,M2Q1,N11M1T3M2Q1,N11M1T3M2Q1,Alpha,None,3
N12N16N20,N12,N16,N12N16N20,N12N16N20,Alpha,None,3
N12N16N20,N16,N20,N12N16N20,N12N16N20,Alpha,None,3
N12N16N20,N12,N20,N12N16N20,N12N16N20,Alpha,None,3
N12N18N20,N12,N18,N12N18N20,N12N18N20,Alpha,None,3
N12N18N20,N18,N20,N12N18N20,N12N18N20,Alpha,None,3
N12N18N20,N12,N20,N12N18N20,N12N18N20,Alpha,None,3
N12N18M1T1,N12,N18,N12N18M1T1,N12N18M1T1,Alpha,None,3
N12N18M1T1,N18,M1T1,N12N18M1T1,N12N18M1T1,Alpha,None,3
N12N18M1T1,N12,M1T1,N12N18M1T1,N12N18M1T1,Alpha,None,3
N12N20N31,N12,N20,N12N20N31,N12N20N31,Alpha,None,3
N12N20N31,N20,N31,N12N20N31,N12N20N31,Alpha,None,3
N12N20N31,N12,N31,N12N20N31,N12N20N31,Alpha,None,3
N12N20N35,N12,N20,N12N20N35,N12N20N35,Alpha,None,3
N12N20N35,N20,N35,N12N20N35,N12N20N35,Alpha,None,3
N12N20N35,N12,N35,N12N20N35,N12N20N35,Alpha,None,3
N12N20N38,N12,N20,N12N20N38,N12N20N38,Alpha,None,3
N12N20N38,N20,N38,N12N20N38,N12N20N38,Alpha,None,3
N12N20N38,N12,N38,N12N20N38,N12N20N38,Alpha,None,3
N12N24N39,N12,N24,N12N24N39,N12N24N39,Alpha,None,3
N12N24N39,N24,N39,N12N24N39,N12N24N39,Alpha,None,3
N12N24N39,N12,N39,N12N24N39,N12N24N39,Alpha,None,3
N12N30N38,N12,N30,N12N30N38,N12N30N38,Alpha,None,3
N12N30N38,N30,N38,N12N30N38,N12N30N38,Alpha,None,3
N12N30N38,N12,N38,N12N30N38,N12N30N38,Alpha,None,3
N12N33N40,N12,N33,N12N33N40,N12N33N40,Alpha,None,3
N12N33N40,N33,N40,N12N33N40,N12N33N40,Alpha,None,3
N12N33N40,N12,N40,N12N33N40,N12N33N40,Alpha,None,3
N12N33M0P1,N12,N33,N12N33M0P1,N12N33M0P1,Alpha,None,3
N12N33M0P1,N33,M0P1,N12N33M0P1,N12N33M0P1,Alpha,None,3
N12N33M0P1,N12,M0P1,N12N33M0P1,N12N33M0P1,Alpha,None,3
N12N34N38,N12,N34,N12N34N38,N12N34N38,Alpha,None,3
N12N34N38,N34,N38,N12N34N38,N12N34N38,Alpha,None,3
N12N34N38,N12,N38,N12N34N38,N12N34N38,Alpha,None,3
N12N37M1T1,N12,N37,N12N37M1T1,N12N37M1T1,Alpha,None,3
N12N37M1T1,N37,M1T1,N12N37M1T1,N12N37M1T1,Alpha,None,3
N12N37M1T1,N12,M1T1,N12N37M1T1,N12N37M1T1,Alpha,None,3
N12M0P1M1T3,N12,M0P1,N12M0P1M1T3,N12M0P1M1T3,Alpha,None,3
N12M0P1M1T3,M0P1,M1T3,N12M0P1M1T3,N12M0P1M1T3,Alpha,None,3
N12M0P1M1T3,N12,M1T3,N12M0P1M1T3,N12M0P1M1T3,Alpha,None,3
N12M1T1M2Q3,N12,M1T1,N12M1T1M2Q3,N12M1T1M2Q3,Alpha,None,3
N12M1T1M2Q3,M1T1,M2Q3,N12M1T1M2Q3,N12M1T1M2Q3,Alpha,None,3
N12M1T1M2Q3,N12,M2Q3,N12M1T1M2Q3,N12M1T1M2Q3,Alpha,None,3
N13N16N22,N13,N16,N13N16N22,N13N16N22,Alpha,None,3
N13N16N22,N16,N22,N13N16N22,N13N16N22,Alpha,None,3
N13N16N22,N13,N22,N13N16N22,N13N16N22,Alpha,None,3
N13N18N19,N13,N18,N13N18N19,N13N18N19,Alpha,None,3
N13N18N19,N18,N19,N13N18N19,N13N18N19,Alpha,None,3
N13N18N19,N13,N19,N13N18N19,N13N18N19,Alpha,None,3
N13N18M2Q3,N13,N18,N13N18M2Q3,N13N18M2Q3,Alpha,None,3
N13N18M2Q3,N18,M2Q3,N13N18M2Q3,N13N18M2Q3,Alpha,None,3
N13N18M2Q3,N13,M2Q3,N13N18M2Q3,N13N18M2Q3,Alpha,None,3
N13N20N37,N13,N20,N13N20N37,N13N20N37,Alpha,None,3
N13N20N37,N20,N37,N13N20N37,N13N20N37,Alpha,None,3
N13N20N37,N13,N37,N13N20N37,N13N20N37,Alpha,None,3
N13N22N31,N13,N22,N13N22N31,N13N22N31,Alpha,None,3
N13N22N31,N22,N31,N13N22N31,N13N22N31,Alpha,None,3
N13N22N31,N13,N31,N13N22N31,N13N22N31,Alpha,None,3
N13N22N39,N13,N22,N13N22N39,N13N22N39,Alpha,None,3
N13N22N39,N22,N39,N13N22N39,N13N22N39,Alpha,None,3
N13N22N39,N13,N39,N13N22N39,N13N22N39,Alpha,None,3
N13N22M2Q4,N13,N22,N13N22M2Q4,N13N22M2Q4,Alpha,None,3
N13N22M2Q4,N22,M2Q4,N13N22M2Q4,N13N22M2Q4,Alpha,None,3
N13N22M2Q4,N13,M2Q4,N13N22M2Q4,N13N22M2Q4,Alpha,None,3
N13N24M2Q1,N13,N24,N13N24M2Q1,N13N24M2Q1,Alpha,None,3
N13N24M2Q1,N24,M2Q1,N13N24M2Q1,N13N24M2Q1,Alpha,None,3
N13N24M2Q1,N13,M2Q1,N13N24M2Q1,N13N24M2Q1,Alpha,None,3
N13N31N34,N13,N31,N13N31N34,N13N31N34,Alpha,None,3
N13N31N34,N31,N34,N13N31N34,N13N31N34,Alpha,None,3
N13N31N34,N13,N34,N13N31N34,N13N31N34,Alpha,None,3
N13N31M2Q3,N13,N31,N13N31M2Q3,N13N31M2Q3,Alpha,None,3
N13N31M2Q3,N31,M2Q3,N13N31M2Q3,N13N31M2Q3,Alpha,None,3
N13N31M2Q3,N13,M2Q3,N13N31M2Q3,N13N31M2Q3,Alpha,None,3
N13N40M0P1,N13,N40,N13N40M0P1,N13N40M0P1,Alpha,None,3
N13N40M0P1,N40,M0P1,N13N40M0P1,N13N40M0P1,Alpha,None,3
N13N40M0P1,N13,M0P1,N13N40M0P1,N13N40M0P1,Alpha,None,3
N14N20M1T3,N14,N20,N14N20M1T3,N14N20M1T3,Alpha,None,3
N14N20M1T3,N20,M1T3,N14N20M1T3,N14N20M1T3,Alpha,None,3
N14N20M1T3,N14,M1T3,N14N20M1T3,N14N20M1T3,Alpha,None,3
N14N31M1T3,N14,N31,N14N31M1T3,N14N31M1T3,Alpha,None,3
N14N31M1T3,N31,M1T3,N14N31M1T3,N14N31M1T3,Alpha,None,3
N14N31M1T3,N14,M1T3,N14N31M1T3,N14N31M1T3,Alpha,None,3
N15N18M1T3,N15,N18,N15N18M1T3,N15N18M1T3,Alpha,None,3
N15N18M1T3,N18,M1T3,N15N18M1T3,N15N18M1T3,Alpha,None,3
N15N18M1T3,N15,M1T3,N15N18M1T3,N15N18M1T3,Alpha,None,3
N15N24N31,N15,N24,N15N24N31,N15N24N31,Alpha,None,3
N15N24N31,N24,N31,N15N24N31,N15N24N31,Alpha,None,3
N15N24N31,N15,N31,N15N24N31,N15N24N31,Alpha,None,3
N15N31M1T2,N15,N31,N15N31M1T2,N15N31M1T2,Alpha,None,3
N15N31M1T2,N31,M1T2,N15N31M1T2,N15N31M1T2,Alpha,None,3
N15N31M1T2,N15,M1T2,N15N31M1T2,N15N31M1T2,Alpha,None,3
N15N33M1T3,N15,N33,N15N33M1T3,N15N33M1T3,Alpha,None,3
N15N33M1T3,N33,M1T3,N15N33M1T3,N15N33M1T3,Alpha,None,3
N15N33M1T3,N15,M1T3,N15N33M1T3,N15N33M1T3,Alpha,None,3
N15M1T2M2Q2,N15,M1T2,N15M1T2M2Q2,N15M1T2M2Q2,Alpha,None,3
N15M1T2M2Q2,M1T2,M2Q2,N15M1T2M2Q2,N15M1T2M2Q2,Alpha,None,3
N15M1T2M2Q2,N15,M2Q2,N15M1T2M2Q2,N15M1T2M2Q2,Alpha,None,3
N16N20N22,N16,N20,N16N20N22,N16N20N22,Alpha,None,3
N16N20N22,N20,N22,N16N20N22,N16N20N22,Alpha,None,3
N16N20N22,N16,N22,N16N20N22,N16N20N22,Alpha,None,3
N16N20N26,N16,N20,N16N20N26,N16N20N26,Alpha,None,3
N16N20N26,N20,N26,N16N20N26,N16N20N26,Alpha,None,3
N16N20N26,N16,N26,N16N20N26,N16N20N26,Alpha,None,3
N16N20N31,N16,N20,N16N20N31,N16N20N31,Alpha,None,3
N16N20N31,N20,N31,N16N20N31,N16N20N31,Alpha,None,3
N16N20N31,N16,N31,N16N20N31,N16N20N31,Alpha,None,3
N16N20N35,N16,N20,N16N20N35,N16N20N35,Alpha,None,3
N16N20N35,N20,N35,N16N20N35,N16N20N35,Alpha,None,3
N16N20N35,N16,N35,N16N20N35,N16N20N35,Alpha,None,3
N16N20N37,N16,N20,N16N20N37,N16N20N37,Alpha,None,3
N16N20N37,N20,N37,N16N20N37,N16N20N37,Alpha,None,3
N16N20N37,N16,N37,N16N20N37,N16N20N37,Alpha,None,3
N16N31M1T2,N16,N31,N16N31M1T2,N16N31M1T2,Alpha,None,3
N16N31M1T2,N31,M1T2,N16N31M1T2,N16N31M1T2,Alpha,None,3
N16N31M1T2,N16,M1T2,N16N31M1T2,N16N31M1T2,Alpha,None,3
N16N31M2Q1,N16,N31,N16N31M2Q1,N16N31M2Q1,Alpha,None,3
N16N31M2Q1,N31,M2Q1,N16N31M2Q1,N16N31M2Q1,Alpha,None,3
N16N31M2Q1,N16,M2Q1,N16N31M2Q1,N16N31M2Q1,Alpha,None,3
N16N33M1T2,N16,N33,N16N33M1T2,N16N33M1T2,Alpha,None,3
N16N33M1T2,N33,M1T2,N16N33M1T2,N16N33M1T2,Alpha,None,3
N16N33M1T2,N16,M1T2,N16N33M1T2,N16N33M1T2,Alpha,None,3
N16N36M2Q3,N16,N36,N16N36M2Q3,N16N36M2Q3,Alpha,None,3
N16N36M2Q3,N36,M2Q3,N16N36M2Q3,N16N36M2Q3,Alpha,None,3
N16N36M2Q3,N16,M2Q3,N16N36M2Q3,N16N36M2Q3,Alpha,None,3
N16M1T2M1T3,N16,M1T2,N16M1T2M1T3,N16M1T2M1T3,Alpha,None,3
N16M1T2M1T3,M1T2,M1T3,N16M1T2M1T3,N16M1T2M1T3,Alpha,None,3
N16M1T2M1T3,N16,M1T3,N16M1T2M1T3,N16M1T2M1T3,Alpha,None,3
N16M1T2M2Q1,N16,M1T2,N16M1T2M2Q1,N16M1T2M2Q1,Alpha,None,3
N16M1T2M2Q1,M1T2,M2Q1,N16M1T2M2Q1,N16M1T2M2Q1,Alpha,None,3
N16M1T2M2Q1,N16,M2Q1,N16M1T2M2Q1,N16M1T2M2Q1,Alpha,None,3
N16M1T2M2Q2,N16,M1T2,N16M1T2M2Q2,N16M1T2M2Q2,Alpha,None,3
N16M1T2M2Q2,M1T2,M2Q2,N16M1T2M2Q2,N16M1T2M2Q2,Alpha,None,3
N16M1T2M2Q2,N16,M2Q2,N16M1T2M2Q2,N16M1T2M2Q2,Alpha,None,3
N17N31N37,N17,N31,N17N31N37,N17N31N37,Alpha,None,3
N17N31N37,N31,N37,N17N31N37,N17N31N37,Alpha,None,3
N17N31N37,N17,N37,N17N31N37,N17N31N37,Alpha,None,3
N17N36M2Q3,N17,N36,N17N36M2Q3,N17N36M2Q3,Alpha,None,3
N17N36M2Q3,N36,M2Q3,N17N36M2Q3,N17N36M2Q3,Alpha,None,3
N17N36M2Q3,N17,M2Q3,N17N36M2Q3,N17N36M2Q3,Alpha,None,3
N18N20N37,N18,N20,N18N20N37,N18N20N37,Alpha,None,3
N18N20N37,N20,N37,N18N20N37,N18N20N37,Alpha,None,3
N18N20N37,N18,N37,N18N20N37,N18N20N37,Alpha,None,3
N18N22M0P1,N18,N22,N18N22M0P1,N18N22M0P1,Alpha,None,3
N18N22M0P1,N22,M0P1,N18N22M0P1,N18N22M0P1,Alpha,None,3
N18N22M0P1,N18,M0P1,N18N22M0P1,N18N22M0P1,Alpha,None,3
N18N26N29,N18,N26,N18N26N29,N18N26N29,Alpha,None,3
N18N26N29,N26,N29,N18N26N29,N18N26N29,Alpha,None,3
N18N26N29,N18,N29,N18N26N29,N18N26N29,Alpha,None,3
N18N28M1T1,N18,N28,N18N28M1T1,N18N28M1T1,Alpha,None,3
N18N28M1T1,N28,M1T1,N18N28M1T1,N18N28M1T1,Alpha,None,3
N18N28M1T1,N18,M1T1,N18N28M1T1,N18N28M1T1,Alpha,None,3
N18N29N36,N18,N29,N18N29N36,N18N29N36,Alpha,None,3
N18N29N36,N29,N36,N18N29N36,N18N29N36,Alpha,None,3
N18N29N36,N18,N36,N18N29N36,N18N29N36,Alpha,None,3
N18N29N40,N18,N29,N18N29N40,N18N29N40,Alpha,None,3
N18N29N40,N29,N40,N18N29N40,N18N29N40,Alpha,None,3
N18N29N40,N18,N40,N18N29N40,N18N29N40,Alpha,None,3
N18N31M2Q3,N18,N31,N18N31M2Q3,N18N31M2Q3,Alpha,None,3
N18N31M2Q3,N31,M2Q3,N18N31M2Q3,N18N31M2Q3,Alpha,None,3
N18N31M2Q3,N18,M2Q3,N18N31M2Q3,N18N31M2Q3,Alpha,None,3
N18N33N36,N18,N33,N18N33N36,N18N33N36,Alpha,None,3
N18N33N36,N33,N36,N18N33N36,N18N33N36,Alpha,None,3
N18N33N36,N18,N36,N18N33N36,N18N33N36,Alpha,None,3
N18N33M0P1,N18,N33,N18N33M0P1,N18N33M0P1,Alpha,None,3
N18N33M0P1,N33,M0P1,N18N33M0P1,N18N33M0P1,Alpha,None,3
N18N33M0P1,N18,M0P1,N18N33M0P1,N18N33M0P1,Alpha,None,3
N18N36M2Q3,N18,N36,N18N36M2Q3,N18N36M2Q3,Alpha,None,3
N18N36M2Q3,N36,M2Q3,N18N36M2Q3,N18N36M2Q3,Alpha,None,3
N18N36M2Q3,N18,M2Q3,N18N36M2Q3,N18N36M2Q3,Alpha,None,3
N18N38M0P1,N18,N38,N18N38M0P1,N18N38M0P1,Alpha,None,3
N18N38M0P1,N38,M0P1,N18N38M0P1,N18N38M0P1,Alpha,None,3
N18N38M0P1,N18,M0P1,N18N38M0P1,N18N38M0P1,Alpha,None,3
N18N38M2Q3,N18,N38,N18N38M2Q3,N18N38M2Q3,Alpha,None,3
N18N38M2Q3,N38,M2Q3,N18N38M2Q3,N18N38M2Q3,Alpha,None,3
N18N38M2Q3,N18,M2Q3,N18N38M2Q3,N18N38M2Q3,Alpha,None,3
N18M1T1M2Q3,N18,M1T1,N18M1T1M2Q3,N18M1T1M2Q3,Alpha,None,3
N18M1T1M2Q3,M1T1,M2Q3,N18M1T1M2Q3,N18M1T1M2Q3,Alpha,None,3
N18M1T1M2Q3,N18,M2Q3,N18M1T1M2Q3,N18M1T1M2Q3,Alpha,None,3
N19N22N37,N19,N22,N19N22N37,N19N22N37,Alpha,None,3
N19N22N37,N22,N37,N19N22N37,N19N22N37,Alpha,None,3
N19N22N37,N19,N37,N19N22N37,N19N22N37,Alpha,None,3
N19N24M1T3,N19,N24,N19N24M1T3,N19N24M1T3,Alpha,None,3
N19N24M1T3,N24,M1T3,N19N24M1T3,N19N24M1T3,Alpha,None,3
N19N24M1T3,N19,M1T3,N19N24M1T3,N19N24M1T3,Alpha,None,3
N19N30M2Q3,N19,N30,N19N30M2Q3,N19N30M2Q3,Alpha,None,3
N19N30M2Q3,N30,M2Q3,N19N30M2Q3,N19N30M2Q3,Alpha,None,3
N19N30M2Q3,N19,M2Q3,N19N30M2Q3,N19N30M2Q3,Alpha,None,3
N19N31M1T2,N19,N31,N19N31M1T2,N19N31M1T2,Alpha,None,3
N19N31M1T2,N31,M1T2,N19N31M1T2,N19N31M1T2,Alpha,None,3
N19N31M1T2,N19,M1T2,N19N31M1T2,N19N31M1T2,Alpha,None,3
N19N33M1T3,N19,N33,N19N33M1T3,N19N33M1T3,Alpha,None,3
N19N33M1T3,N33,M1T3,N19N33M1T3,N19N33M1T3,Alpha,None,3
N19N33M1T3,N19,M1T3,N19N33M1T3,N19N33M1T3,Alpha,None,3
N19M0P2M2Q4,N19,M0P2,N19M0P2M2Q4,N19M0P2M2Q4,Alpha,None,3
N19M0P2M2Q4,M0P2,M2Q4,N19M0P2M2Q4,N19M0P2M2Q4,Alpha,None,3
N19M0P2M2Q4,N19,M2Q4,N19M0P2M2Q4,N19M0P2M2Q4,Alpha,None,3
N20N22N34,N20,N22,N20N22N34,N20N22N34,Alpha,None,3
N20N22N34,N22,N34,N20N22N34,N20N22N34,Alpha,None,3
N20N22N34,N20,N34,N20N22N34,N20N22N34,Alpha,None,3
N20N22N35,N20,N22,N20N22N35,N20N22N35,Alpha,None,3
N20N22N35,N22,N35,N20N22N35,N20N22N35,Alpha,None,3
N20N22N35,N20,N35,N20N22N35,N20N22N35,Alpha,None,3
N20N22M0P2,N20,N22,N20N22M0P2,N20N22M0P2,Alpha,None,3
N20N22M0P2,N22,M0P2,N20N22M0P2,N20N22M0P2,Alpha,None,3
N20N22M0P2,N20,M0P2,N20N22M0P2,N20N22M0P2,Alpha,None,3
N20N35M2Q1,N20,N35,N20N35M2Q1,N20N35M2Q1,Alpha,None,3
N20N35M2Q1,N35,M2Q1,N20N35M2Q1,N20N35M2Q1,Alpha,None,3
N20N35M2Q1,N20,M2Q1,N20N35M2Q1,N20N35M2Q1,Alpha,None,3
N21N22N35,N21,N22,N21N22N35,N21N22N35,Alpha,None,3
N21N22N35,N22,N35,N21N22N35,N21N22N35,Alpha,None,3
N21N22N35,N21,N35,N21N22N35,N21N22N35,Alpha,None,3
N22N24N37,N22,N24,N22N24N37,N22N24N37,Alpha,None,3
N22N24N37,N24,N37,N22N24N37,N22N24N37,Alpha,None,3
N22N24N37,N22,N37,N22N24N37,N22N24N37,Alpha,None,3
N22N26N39,N22,N26,N22N26N39,N22N26N39,Alpha,None,3
N22N26N39,N26,N39,N22N26N39,N22N26N39,Alpha,None,3
N22N26N39,N22,N39,N22N26N39,N22N26N39,Alpha,None,3
N22N28M1T2,N22,N28,N22N28M1T2,N22N28M1T2,Alpha,None,3
N22N28M1T2,N28,M1T2,N22N28M1T2,N22N28M1T2,Alpha,None,3
N22N28M1T2,N22,M1T2,N22N28M1T2,N22N28M1T2,Alpha,None,3
N22N29M0P1,N22,N29,N22N29M0P1,N22N29M0P1,Alpha,None,3
N22N29M0P1,N29,M0P1,N22N29M0P1,N22N29M0P1,Alpha,None,3
N22N29M0P1,N22,M0P1,N22N29M0P1,N22N29M0P1,Alpha,None,3
N22N30N39,N22,N30,N22N30N39,N22N30N39,Alpha,None,3
N22N30N39,N30,N39,N22N30N39,N22N30N39,Alpha,None,3
N22N30N39,N22,N39,N22N30N39,N22N30N39,Alpha,None,3
N22N30M2Q1,N22,N30,N22N30M2Q1,N22N30M2Q1,Alpha,None,3
N22N30M2Q1,N30,M2Q1,N22N30M2Q1,N22N30M2Q1,Alpha,None,3
N22N30M2Q1,N22,M2Q1,N22N30M2Q1,N22N30M2Q1,Alpha,None,3
N22N31N34,N22,N31,N22N31N34,N22N31N34,Alpha,None,3
N22N31N34,N31,N34,N22N31N34,N22N31N34,Alpha,None,3
N22N31N34,N22,N34,N22N31N34,N22N31N34,Alpha,None,3
N22N33M2Q1,N22,N33,N22N33M2Q1,N22N33M2Q1,Alpha,None,3
N22N33M2Q1,N33,M2Q1,N22N33M2Q1,N22N33M2Q1,Alpha,None,3
N22N33M2Q1,N22,M2Q1,N22N33M2Q1,N22N33M2Q1,Alpha,None,3
N22N33M2Q4,N22,N33,N22N33M2Q4,N22N33M2Q4,Alpha,None,3
N22N33M2Q4,N33,M2Q4,N22N33M2Q4,N22N33M2Q4,Alpha,None,3
N22N33M2Q4,N22,M2Q4,N22N33M2Q4,N22N33M2Q4,Alpha,None,3
N22N34M1T3,N22,N34,N22N34M1T3,N22N34M1T3,Alpha,None,3
N22N34M1T3,N34,M1T3,N22N34M1T3,N22N34M1T3,Alpha,None,3
N22N34M1T3,N22,M1T3,N22N34M1T3,N22N34M1T3,Alpha,None,3
N22N35M1T2,N22,N35,N22N35M1T2,N22N35M1T2,Alpha,None,3
N22N35M1T2,N35,M1T2,N22N35M1T2,N22N35M1T2,Alpha,None,3
N22N35M1T2,N22,M1T2,N22N35M1T2,N22N35M1T2,Alpha,None,3
N22N37M2Q3,N22,N37,N22N37M2Q3,N22N37M2Q3,Alpha,None,3
N22N37M2Q3,N37,M2Q3,N22N37M2Q3,N22N37M2Q3,Alpha,None,3
N22N37M2Q3,N22,M2Q3,N22N37M2Q3,N22N37M2Q3,Alpha,None,3
N22N38M2Q3,N22,N38,N22N38M2Q3,N22N38M2Q3,Alpha,None,3
N22N38M2Q3,N38,M2Q3,N22N38M2Q3,N22N38M2Q3,Alpha,None,3
N22N38M2Q3,N22,M2Q3,N22N38M2Q3,N22N38M2Q3,Alpha,None,3
N22M0P1M0P2,N22,M0P1,N22M0P1M0P2,N22M0P1M0P2,Alpha,None,3
N22M0P1M0P2,M0P1,M0P2,N22M0P1M0P2,N22M0P1M0P2,Alpha,None,3
N22M0P1M0P2,N22,M0P2,N22M0P1M0P2,N22M0P1M0P2,Alpha,None,3
N22M0P1M1T1,N22,M0P1,N22M0P1M1T1,N22M0P1M1T1,Alpha,None,3
N22M0P1M1T1,M0P1,M1T1,N22M0P1M1T1,N22M0P1M1T1,Alpha,None,3
N22M0P1M1T1,N22,M1T1,N22M0P1M1T1,N22M0P1M1T1,Alpha,None,3
N22M0P1M1T3,N22,M0P1,N22M0P1M1T3,N22M0P1M1T3,Alpha,None,3
N22M0P1M1T3,M0P1,M1T3,N22M0P1M1T3,N22M0P1M1T3,Alpha,None,3
N22M0P1M1T3,N22,M1T3,N22M0P1M1T3,N22M0P1M1T3,Alpha,None,3
N22M0P2M1T2,N22,M0P2,N22M0P2M1T2,N22M0P2M1T2,Alpha,None,3
N22M0P2M1T2,M0P2,M1T2,N22M0P2M1T2,N22M0P2M1T2,Alpha,None,3
N22M0P2M1T2,N22,M1T2,N22M0P2M1T2,N22M0P2M1T2,Alpha,None,3
N22M1T2M2Q4,N22,M1T2,N22M1T2M2Q4,N22M1T2M2Q4,Alpha,None,3
N22M1T2M2Q4,M1T2,M2Q4,N22M1T2M2Q4,N22M1T2M2Q4,Alpha,None,3
N22M1T2M2Q4,N22,M2Q4,N22M1T2M2Q4,N22M1T2M2Q4,Alpha,None,3
N22M2Q3M2Q4,N22,M2Q3,N22M2Q3M2Q4,N22M2Q3M2Q4,Alpha,None,3
N22M2Q3M2Q4,M2Q3,M2Q4,N22M2Q3M2Q4,N22M2Q3M2Q4,Alpha,None,3
N22M2Q3M2Q4,N22,M2Q4,N22M2Q3M2Q4,N22M2Q3M2Q4,Alpha,None,3
